id,loss
4,1629.719970703125
6,2000.9473876953125
9,9210.7021484375
12,5066.97607421875
15,936.33544921875
17,2161.587890625
21,2060.550048828125
28,971.8328247070312
32,2130.80908203125
43,3044.193603515625
46,2593.178466796875
50,1068.025146484375
54,1256.0634765625
62,1859.85009765625
70,1914.9193115234375
71,4563.6435546875
75,1982.449951171875
77,2096.5458984375
81,2399.654541015625
83,2553.14892578125
87,2014.3441162109375
97,2068.580322265625
103,1480.4315185546875
119,1228.747314453125
120,1865.555908203125
127,1183.84326171875
138,3526.900634765625
141,2497.46728515625
148,1270.6781005859375
150,2696.801513671875
151,2150.33203125
158,1565.97607421875
160,5965.12060546875
165,2351.0888671875
168,3360.2158203125
169,3273.186279296875
177,2711.596923828125
178,3596.404052734375
184,1762.7567138671875
194,7924.802734375
198,1659.459228515625
203,4149.2021484375
211,2578.667724609375
217,1235.6563720703125
219,1514.02783203125
221,3692.224853515625
227,1817.3697509765625
230,1387.6690673828125
235,1829.598388671875
240,819.9022216796875
243,2845.33447265625
249,7203.5205078125
253,2597.10986328125
258,1440.877197265625
261,1430.029052734375
263,3457.41455078125
264,2875.179931640625
265,4384.111328125
268,1471.357177734375
271,1320.903076171875
274,4938.24609375
275,783.655517578125
279,1923.3924560546875
282,1347.402587890625
286,2665.50244140625
288,1414.4534912109375
294,2608.475830078125
296,1098.482666015625
297,1682.2764892578125
300,892.8101806640625
303,8423.6884765625
314,1169.33544921875
315,4840.21533203125
321,2348.61474609375
323,4096.01953125
330,3964.656005859375
341,1913.600341796875
342,3525.1318359375
352,1770.24169921875
353,3745.71142578125
360,4976.4169921875
361,2048.10546875
362,3876.861328125
366,1176.1807861328125
372,3233.346923828125
376,2629.0546875
377,2310.6552734375
379,1502.5887451171875
380,3800.273681640625
387,1742.3096923828125
392,1886.3795166015625
394,9600.3212890625
395,1631.3775634765625
397,1629.457275390625
407,4887.20654296875
411,6460.15673828125
416,2457.496826171875
417,1601.3419189453125
419,2982.19775390625
428,5087.46240234375
431,1955.1519775390625
436,7346.41015625
438,1288.68359375
445,7236.046875
446,7236.4609375
455,1355.377685546875
456,1260.902587890625
461,936.3242797851562
463,1879.11572265625
464,3454.6953125
466,1832.2813720703125
467,1581.6370849609375
470,1281.3416748046875
475,1445.638916015625
482,2680.3828125
490,2763.0234375
496,1672.4090576171875
497,3809.0400390625
508,2781.869873046875
510,1650.6754150390625
512,1772.2847900390625
513,3087.232666015625
523,1947.44970703125
531,4746.1171875
532,2025.90625
533,1377.3067626953125
537,1131.19482421875
544,4622.046875
547,3217.171142578125
556,7303.53955078125
565,1267.8631591796875
566,1219.981201171875
571,1502.6396484375
573,1476.1302490234375
574,904.8078002929688
581,1709.2451171875
585,1903.0919189453125
589,2366.250732421875
597,1820.1995849609375
601,3088.593017578125
602,1512.250732421875
613,1695.831298828125
616,1349.559326171875
619,1930.5604248046875
622,2168.244384765625
623,2079.219970703125
